"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Porsche Taycan","Porsche","https://ev-database.org/car/1923/Porsche-Taycan",71,169,1030,93139,420,230,5.4,1.41385219364355
"Mercedes EQS SUV 500 4MATIC","Mercedes","https://ev-database.org/car/1795/Mercedes-EQS-SUV-500-4MATIC",108.4,221,730,124545,490,210,5.2,1.41393270901732
"Mercedes EQT 200 Standard","Mercedes","https://ev-database.org/car/1908/Mercedes-EQT-200-Standard",45,200,230,49445,225,132,12.6,1.41360735351737
"Mercedes EQS 500 4MATIC","Mercedes","https://ev-database.org/car/2010/Mercedes-EQS-500-4MATIC",108.4,184,880,125378,590,210,4.8,1.41393436895321
"Porsche Taycan 4S Plus","Porsche","https://ev-database.org/car/1926/Porsche-Taycan-4S-Plus",83.7,174,1180,120081,480,250,4,1.41392347990122
"Mercedes EQE 500 4MATIC","Mercedes","https://ev-database.org/car/1900/Mercedes-EQE-500-4MATIC",90.6,179,750,88215,505,210,4.7,1.41383522033274
"Porsche Taycan 4 Cross Turismo","Porsche","https://ev-database.org/car/1929/Porsche-Taycan-4-Cross-Turismo",83.7,190,1080,103254,440,220,5.1,1.41388267213445
"Elaris BEO 86 kWh","Elaris","https://ev-database.org/car/1975/Elaris-BEO-86-kWh",81,208,290,53090,390,150,8,1.41364062613304
"Mercedes EQS SUV 450 4MATIC","Mercedes","https://ev-database.org/car/1674/Mercedes-EQS-SUV-450-4MATIC",108.4,221,730,114609,490,210,6,1.41391133501431
"Nissan Ariya e-4ORCE 87kWh - 290 kW","Nissan","https://ev-database.org/car/1305/Nissan-Ariya-e-4ORCE-87kWh---290-kW",87,215,480,71490,405,200,5.1,1.41376302632119
"Opel Vivaro-e Combi M 75 kWh","Opel","https://ev-database.org/car/1602/Opel-Vivaro-e-Combi-M-75-kWh",68,257,290,56942,265,130,13.3,1.41367179683148
"ORA Funky Cat GT","ORA","https://ev-database.org/car/1815/ORA-Funky-Cat-GT",59.3,180,230,49490,330,160,8.2,1.41360778970815
"Mercedes EQE SUV 300","Mercedes","https://ev-database.org/car/2045/Mercedes-EQE-SUV-300",90.6,201,570,83479,450,210,7.6,1.41381729576631
"Audi SQ8 e-tron Sportback","Audi","https://ev-database.org/car/1774/Audi-SQ8-e-tron-Sportback",106,221,610,98050,480,210,4.5,1.41386766183649
"Audi Q4 Sportback e-tron 45 quattro","Audi","https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro",77,186,620,56950,415,180,6.6,1.41367185781016
"Smart #1 Pulse","Smart","https://ev-database.org/car/1920/Smart-1-Pulse",62,194,490,46490,320,180,3.9,1.41357714236175
"Toyota Proace City Verso Electric L1 50 kWh","Toyota","https://ev-database.org/car/1779/Toyota-Proace-City-Verso-Electric-L1-50-kWh",46.3,220,330,37800,210,135,11.2,1.41346550101623
"Fiat 500e Cabrio 42 kWh","Fiat","https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh",37.3,162,380,37990,230,150,9,1.41346840365267
"Mercedes EQE SUV AMG 43 4MATIC","Mercedes","https://ev-database.org/car/1763/Mercedes-EQE-SUV-AMG-43-4MATIC",90.6,218,620,124920,415,210,4.3,1.41393345862578
"Toyota PROACE Verso M 75 kWh","Toyota","https://ev-database.org/car/1514/Toyota-PROACE-Verso-M-75-kWh",68,257,290,64530,265,130,13.1,1.41372376700603
"Toyota Proace City Verso Electric L2 50 kWh","Toyota","https://ev-database.org/car/1780/Toyota-Proace-City-Verso-Electric-L2-50-kWh",46.3,226,330,40150,205,135,11.2,1.41349974430691
"Porsche Taycan 4S","Porsche","https://ev-database.org/car/1925/Porsche-Taycan-4S",71,171,1020,114559,415,250,4,1.4139112194862
